X frequency: 1000000
2022-07-11 15:29:15.177069957 offset: 0.001213312 
2022-07-11 15:29:15.178423796 offset: 0.001254320 
2022-07-11 15:29:15.179618045 offset: 0.001353979 
2022-07-11 15:29:15.180808385 offset: 0.001194239 
2022-07-11 15:29:15.182114085 offset: 0.001190186 
2022-07-11 15:29:15.183327750 offset: 0.001305819 
2022-07-11 15:29:15.184564356 offset: 0.001213551 
2022-07-11 15:29:15.185850889 offset: 0.001236677 
2022-07-11 15:29:15.187119103 offset: 0.001286507 
2022-07-11 15:29:15.188801387 offset: 0.001268148 
2022-07-11 15:29:15.190143881 offset: 0.001682281 
2022-07-11 15:29:15.191329389 offset: 0.001342535 
2022-07-11 15:29:15.192510953 offset: 0.001185656 
2022-07-11 15:29:15.193661652 offset: 0.001181364 
2022-07-11 15:29:15.194886627 offset: 0.001150846 
2022-07-11 15:29:15.196275261 offset: 0.001224995 
2022-07-11 15:29:15.197884891 offset: 0.001388550 
2022-07-11 15:29:15.199435981 offset: 0.001609564 
2022-07-11 15:29:15.200776273 offset: 0.001551151 
2022-07-11 15:29:15.202142202 offset: 0.001340389 
2022-07-11 15:29:15.203718199 offset: 0.001365900 
2022-07-11 15:29:15.205225816 offset: 0.001575947 
2022-07-11 15:29:15.206505443 offset: 0.001507521 
2022-07-11 15:29:15.207720953 offset: 0.001279831 
2022-07-11 15:29:15.211970397 offset: 0.001215458 
2022-07-11 15:29:15.213186401 offset: 0.004249334 
2022-07-11 15:29:15.215323687 offset: 0.001216173 
2022-07-11 15:29:15.216475227 offset: 0.002137184 
2022-07-11 15:29:15.219774084 offset: 0.001151562 
2022-07-11 15:29:15.221030515 offset: 0.003298759 
2022-07-11 15:29:15.222251244 offset: 0.001256466 
2022-07-11 15:29:15.231320294 offset: 0.001220703 
2022-07-11 15:29:15.232504722 offset: 0.009069204 
2022-07-11 15:29:15.233583023 offset: 0.001184225 
2022-07-11 15:29:15.234794365 offset: 0.001078367 
2022-07-11 15:29:15.236050224 offset: 0.001211405 
2022-07-11 15:29:15.237240606 offset: 0.001255751 
2022-07-11 15:29:15.238510502 offset: 0.001190424 
2022-07-11 15:29:15.239671281 offset: 0.001270056 
2022-07-11 15:29:15.240824901 offset: 0.001160622 
2022-07-11 15:29:15.242082061 offset: 0.001153708 
2022-07-11 15:29:15.244121618 offset: 0.001257181 
2022-07-11 15:29:15.245318746 offset: 0.002039433 
2022-07-11 15:29:15.246484832 offset: 0.001197100 
2022-07-11 15:29:15.247726674 offset: 0.001166105 
2022-07-11 15:29:15.249053940 offset: 0.001241922 
2022-07-11 15:29:15.250155009 offset: 0.001327276 
2022-07-11 15:29:15.251430964 offset: 0.001101017 
2022-07-11 15:29:15.252764005 offset: 0.001276016 
2022-07-11 15:29:15.253945103 offset: 0.001332998 
2022-07-11 15:29:15.255101218 offset: 0.001181126 
2022-07-11 15:29:15.256339150 offset: 0.001156092 
2022-07-11 15:29:15.257701215 offset: 0.001237869 
2022-07-11 15:29:15.259022711 offset: 0.001362085 
2022-07-11 15:29:15.260496043 offset: 0.001321554 
2022-07-11 15:29:15.262136492 offset: 0.001473427 
2022-07-11 15:29:15.263464940 offset: 0.001640320 
